,alpha,sigma,only_negative_disturbances,ews,p_linear,p_kendalltau,p_theilsen,p_kendalltau_adj,valid
246,1.5,0.05,True,ac1,0.9791666666666666,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.96
247,1.5,0.05,True,iqr,0.9895833333333334,0.9895833333333334,0.5,0.9895833333333334,0.96
248,1.5,0.05,True,std_dev,0.4166666666666667,0.9166666666666666,0.11458333333333333,0.9166666666666666,0.96
249,1.5,0.1,False,ac1,0.978494623655914,0.978494623655914,0.978494623655914,0.978494623655914,0.93
250,1.5,0.1,False,iqr,0.978494623655914,0.978494623655914,0.5591397849462365,0.978494623655914,0.93
251,1.5,0.1,False,std_dev,0.4731182795698925,0.9139784946236559,0.15053763440860216,0.9139784946236559,0.93
252,1.5,0.1,True,ac1,0.9655172413793104,0.9770114942528736,0.9770114942528736,0.9770114942528736,0.87
253,1.5,0.1,True,iqr,0.9885057471264368,0.9885057471264368,0.5057471264367817,0.9885057471264368,0.87
254,1.5,0.1,True,std_dev,0.39080459770114945,0.8735632183908046,0.12643678160919541,0.8735632183908046,0.87
255,1.5,0.2,False,ac1,0.963855421686747,0.963855421686747,0.963855421686747,0.963855421686747,0.83
256,1.5,0.2,False,iqr,0.9759036144578314,0.9879518072289156,0.6506024096385542,0.9879518072289156,0.83
257,1.5,0.2,False,std_dev,0.4578313253012048,0.8554216867469879,0.1686746987951807,0.8554216867469879,0.83
258,1.5,0.2,True,ac1,0.9558823529411765,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.68
259,1.5,0.2,True,iqr,0.9705882352941176,0.9705882352941176,0.5,0.9705882352941176,0.68
260,1.5,0.2,True,std_dev,0.36764705882352944,0.8088235294117647,0.1323529411764706,0.8088235294117647,0.68
261,1.5,0.5,False,ac1,0.8936170212765957,0.8936170212765957,0.8936170212765957,0.8936170212765957,0.47
262,1.5,0.5,False,iqr,0.9361702127659575,0.9361702127659575,0.6808510638297872,0.9361702127659575,0.47
263,1.5,0.5,False,std_dev,0.3829787234042553,0.7021276595744681,0.14893617021276595,0.7021276595744681,0.47
264,1.5,0.5,True,ac1,0.8181818181818182,0.8636363636363636,0.8181818181818182,0.8636363636363636,0.22
